"ControlNr";"Category";"BBN";"Title";"Description";"ResourceName";"ResourceInstanceName";"CISNumber";"MeasuresCount";"Score";"Timestamp";"RequiredMeasure"
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADAuthenticationStrengthPolicy";"AADAuthenticationStrengthPolicy-Multifactor authentication";"CIS-5.2.2.5";"1";"1";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADAuthenticationStrengthPolicy";"AADAuthenticationStrengthPolicy-Passwordless MFA";"CIS-5.2.2.5";"1";"1";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.2";"Technologisch";"1";"Speciale toegangsrechten";"Het toewijzen en gebruik van speciale toegangsrechten behoren te worden beperkt en beheerd.";"AADAuthenticationStrengthPolicy";"AADAuthenticationStrengthPolicy-Phishing-resistant MFA";"CIS-5.2.2.5";"1";"0";"2024-07-01 11:52:24";"De uitgegeven speciale bevoegdheden worden minimaal ieder kwartaal beoordeeld."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.3";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.3";"1";"1";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.3";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.3";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.9";"Technologisch";"1";"Configuratiebeheer";"Configuraties, met inbegrip van beveiligingsconfiguraties, van hardware, software, diensten en netwerken behoren te worden vastgesteld, gedocumenteerd, geïmplementeerd, gemonitord en beoordeeld.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.3";"1";"0";"2024-07-01 11:52:24";"Is een nieuwe control. Er zijn geen maatregelen nodig. De implementatie-aanwijziging geeft voldoende houvast."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.7";"1";"1";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.7";"1";"1";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require password change for high-risk users";"CIS-5.2.2.7";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for admins";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Block legacy authentication";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
"8.21";"Technologisch";"1";"Beveiliging van netwerkdiensten";"Beveiligingsmechanismen, dienstverleningsniveaus en dienstverleningseisen voor alle netwerkdiensten behoren te worden geïdentificeerd, geïmplementeerd en gemonitord.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for all users";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"Het dataverkeer dat de organisatie binnenkomt of uitgaat wordt bewaakt / geanalyseerd op kwaadaardige elementen middels detectievoorzieningen (zoals beschreven in de richtlijn voor implementatie van detectieoplossingen), zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties) of GDI, die worden ingezet op basis van een risico-inschatting, mede aan de hand van de aard van de te beschermen gegevens en informatiesystemen."
"8.16";"Technologisch";"2";"Monitoren van activiteiten";"Netwerken, systemen en toepassingen behoren te worden gemonitord op afwijkend gedrag en er behoren passende maatregelen te worden genomen om potentiële informatiebeveiligingsincidenten te evalueren.";"AADConditionalAccessPolicy";"AADConditionalAccessPolicy-Require multifactor authentication for risky sign-ins";"CIS-5.2.2.6";"1";"0";"2024-07-01 11:52:24";"De informatie verwerkende omgeving wordt gemonitord door een SIEM en/of SOC middels detectie-voorzieningen, zoals het Nationaal Detectie Netwerk (alleen voor rijksoverheidsorganisaties), die worden ingezet op basis van een risico-inschatting, mede aan de hand van en de aard van de te beschermen gegevens en informatiesystemen, zodat aanvallen kunnen worden gedetecteerd."
